Date,Open,High,Low,Close,Adj Close,Volume
2018-03-02,46.150002,46.275002,45.259998,45.500000,43.873665,7026769
2018-03-05,45.445000,46.160000,45.400002,45.950001,44.307583,5349417
2018-03-06,46.270000,46.485001,46.044998,46.044998,44.399185,4539655
2018-03-07,45.810001,46.299999,45.785000,46.110001,44.461861,4986824
2018-03-08,46.005001,46.525002,45.919998,46.424999,44.765602,4676586
2018-03-09,46.279999,46.665001,46.255001,46.459999,44.799351,4258818
2018-03-12,46.689999,46.814999,46.400002,46.590000,44.924706,4088976
2018-03-13,46.900002,47.490002,46.705002,46.880001,45.204342,7839152
2018-03-14,46.880001,47.365002,46.794998,47.029999,45.348976,6888809
2018-03-15,47.070000,47.250000,46.900002,46.900002,45.223629,6640475
2018-03-16,46.865002,47.779999,46.840000,47.779999,46.072166,19712754
2018-03-19,46.845001,46.930000,46.134998,46.195000,45.129433,7092469
2018-03-20,46.345001,46.389999,45.755001,46.235001,45.168507,5726286
2018-03-21,46.299999,46.625000,46.035000,46.555000,45.481129,5923941
2018-03-22,46.314999,46.634998,45.805000,46.255001,45.188046,7645861
2018-03-23,45.814999,46.195000,45.580002,45.805000,44.748425,7267624
2018-03-26,45.945000,46.195000,45.625000,45.900002,44.841236,6195818
2018-03-27,46.400002,46.500000,45.830002,46.090000,45.026852,7235270
2018-03-28,45.830002,45.959999,45.595001,45.834999,44.777733,8654871
2018-03-29,45.820000,46.450001,45.685001,46.130001,45.065933,5098808
2018-04-03,46.270000,47.035000,46.235001,46.705002,45.627670,7557631
2018-04-04,47.009998,47.279999,46.669998,47.279999,46.189404,7706321
2018-04-05,47.990002,48.590000,47.575001,48.560001,47.439880,8867065
2018-04-06,48.450001,48.849998,48.250000,48.474998,47.356834,5952589
2018-04-09,48.465000,48.560001,48.154999,48.320000,47.205414,4994629
2018-04-10,48.494999,48.849998,48.220001,48.810001,47.684113,6047662
2018-04-11,48.500000,49.099998,48.320000,48.860001,47.732960,5722807
2018-04-12,48.830002,49.119999,48.695000,48.895000,47.767151,5896449
2018-04-13,48.799999,48.880001,48.384998,48.599998,47.478954,5553793
2018-04-16,48.494999,48.770000,48.299999,48.645000,47.522919,3588017
2018-04-17,48.700001,49.134998,48.700001,48.915001,47.786690,4886957
2018-04-18,48.860001,49.750000,48.860001,49.700001,48.553585,7873858
2018-04-19,49.744999,50.400002,49.724998,50.299999,49.139740,5966295
2018-04-20,50.299999,50.830002,49.855000,50.639999,49.471897,8539792
2018-04-23,50.660000,51.160000,50.509998,51.160000,49.979904,5072373
2018-04-24,51.139999,51.840000,51.070000,51.840000,50.644218,6734317
2018-04-25,51.389999,51.570000,50.820000,51.150002,49.970135,6535854
2018-04-26,51.150002,52.099998,51.000000,51.910000,50.712605,6192656
2018-04-27,52.000000,52.099998,51.660000,52.099998,50.898220,3738929
2018-04-30,51.779999,52.330002,51.689999,52.330002,51.122917,5712854
2018-05-02,51.980000,52.310001,51.650002,51.650002,50.458603,7030296
2018-05-03,51.580002,51.849998,51.549999,51.779999,50.585602,4972015
